cod_infracao;des_infracao;des_abreviada;enquadramento;valor;qtd_pontos;tip_medicao;responsavel;fracao;valor_adicional;dat_fimvigencia;dat_iniciovigencia;fk_id_observacao_infracao
"54526";"Estacionar  ao lado ou sobre marcas de canalização                                                                                                                                                                                                                                                                                                                                                              ";"Estacionar  ao lado ou sobre marcas de canalização ";"181VIII";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"54527";"Estacionar  ao lado ou sobre gramado ou jardim público                                                                                                                                                                                                                                                                                                                                                          ";"Estacionar  ao lado ou sobre gramado ou jardim público";"181 VIII";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"54528";"Estacionar o veículo ao lado de canteiros centrais                                                                                                                                                                                                                                                                                                                                                              ";"Estacionar o veículo ao lado de canteiros centrais";"181 VIII";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"54600";"Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada, destinada à entrada ou saída de veículo                                                                                                                                                                                                                                                                                                  ";"Estacionar o veículo onde houver guia de calçada (meio-fio) rebaixada, destinada";"181 IX";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"54790";"Estacionar o veículo impedindo a movimentação de outro veículo                                                                                                                                                                                                                                                                                                                                                  ";"Estacionar o veículo impedindo a movimentação de outro veículo";"181 X";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"54870";"Estacionar o veículo ao lado de outro veículo em fila dupla                                                                                                                                                                                                                                                                                                                                                     ";"Estacionar o veículo ao lado de outro veículo em fila dupla";"181 XI";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"54950";"Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de veículos e pedestres                                                                                                                                                                                                                                                                                                           ";"Estacionar o veículo na área de cruzamento de vias, prejudicando a circulação de";"181 XII";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"55090";"Estacionar o veículo onde houver sinalização horizontal delimitadora de ponto de embarque ou desembarque de passageiros de transporte coletivo, ou na inexistência dessa sinalização, no intervalo compreendido entre dez metros antes e depois do marco do ponto                                                                                                                                               ";"Estacionar o veículo onde houver sinalização horizontal delimitadora de ponto de";"181 XIII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"55170";"Estacionar o veículo nos viadutos, pontes e túneis                                                                                                                                                                                                                                                                                                                                                              ";"Estacionar o veículo nos viadutos, pontes e túneis";"181 XIV";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"55171";"Estacionar o veículo nos viadutos                                                                                                                                                                                                                                                                                                                                                                               ";"Estacionar o veículo nos viadutos";"181 XIV";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"55172";"Estacionar o veículo nas pontes                                                                                                                                                                                                                                                                                                                                                                                 ";"Estacionar o veículo nas pontes";"181 XIV";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"55173";"Estacionar o veículo nos túneis                                                                                                                                                                                                                                                                                                                                                                                 ";"Estacionar o veículo nos túneis";"181 XIV";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"55250";"Estacionar o veículo na contra mão de direção                                                                                                                                                                                                                                                                                                                                                                   ";"Estacionar o veículo na contra mão de direção";"181 XV";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"55330";"Estacionar o veículo em aclive ou declive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total  superior a três mil e quinhentos quilogramas                                                                                                                                                                                                              ";"Estacionar o veículo em aclive ou declive, não estando devidamente freado e sem ";"181 XVI";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"55331";"Estacionar o veículo em aclive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total  superior a três mil e quinhentos quilogramas                                                                                                                                                                                                                         ";"Estacionar o veículo em aclive, não estando devidamente freado e sem calço de se";"181 XVI";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"55332";"Estacionar o veículo em declive, não estando devidamente freado e sem calço de segurança, quando se tratar de veículo com peso bruto total  superior a três mil e quinhentos quilogramas                                                                                                                                                                                                                        ";"Estacionar o veículo em declive, não estando devidamente freado e sem calço de s";"181 XVI";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"55410";"Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização (placa ? estacionamento regulamentado)                                                                                                                                                                                                                                                                       ";"Estacionar o veículo em desacordo com as condições regulamentadas especificament";"181 XVII";53.20;3;(null);"C";(null);(null);"2008-01-22";(null);(null)
"55411";"Estacionar  em desacordo com a regulamentação especificada pela sinalização                                                                                                                                                                                                                                                                                                                                     ";"Estacionar  em desacordo com a regulamentação especificada pela sinalização ";"181 XVII";53.20;3;(null);"C";0.00;0.00;(null);(null);(null)
"55412";"Estacionar em desacordo com a regulamentação ? estacionamento  rotativo                                                                                                                                                                                                                                                                                                                                         ";"Estacionar em desacordo com a regulamentação ? estacionamento  rotativo";"181 XVII";53.20;3;(null);"C";0.00;0.00;(null);(null);(null)
