cod_infracao;des_infracao;des_abreviada;enquadramento;valor;qtd_pontos;tip_medicao;responsavel;fracao;valor_adicional;dat_fimvigencia;dat_iniciovigencia;fk_id_observacao_infracao
"50100";"Dirigir veículo sem possuir CNH ou Permissão para Dirigir                                                                                                                                                                                                                                                                                                                                                       ";"Dirigir veículo sem possuir CNH ou Permissão para Dirigir";"162 I";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50101";"Dirigir veículo sem possuir CNH                                                                                                                                                                                                                                                                                                                                                                                 ";"Dirigir veículo sem possuir CNH";"162 I";574.62;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50102";"Dirigir veículo sem possuir permissão para dirigir                                                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo sem possuir permissão para dirigir";"162 I";574.62;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50290";"Dirigir veículo com CNH ou Permissão para Dirigir cassada ou com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                ";"Dirigir veículo com CNH ou Permissão para Dirigir cassada ou com suspensão do di";"162 II";957.70;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50291";"Dirigir veículo com CNH  cassada                                                                                                                                                                                                                                                                                                                                                                                ";"Dirigir veículo com CNH  cassada";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50292";"Dirigir veículo com Permissão para dirigir cassada                                                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo com Permissão para dirigir cassada";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50293";"Dirigir veículo com CNH, com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                                                    ";"Dirigir veículo com CNH, com suspensão do direito de dirigir";"162 II";957.70;7;(null);"C";(null);(null);(null);(null);(null)
"50294";"Dirigir veículo com Permissão para dirigir com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                                  ";"Dirigir veículo com Permissão para dirigir com suspensão do ";"162 II";957.70;7;"";"C";(null);(null);"2008-01-22";(null);(null)
"50370";"Dirigir veículo com CNH ou Permissão para Dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                    ";"Dirigir veículo com CNH ou Permissão para Dirigir de categoria diferente da do v";"162 III";574.62;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50371";"Dirigir veículo com CNH de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                                              ";"Dirigir veículo com CNH de categoria diferente da do veículo que esteja conduzin";"162 III";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50372";"Dirigir veículo com Permissão para dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                                           ";"Dirigir veículo com Permissão para dirigir de categoria diferente da do veículo ";"162 III";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"50450";"Dirigir veículo com validade da CNH vencida a mais de trinta dias                                                                                                                                                                                                                                                                                                                                               ";"Dirigir veículo com validade da CNH vencida a mais de trinta dias";"162 V";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"50530";"Dirigir o veículo sem usar lentes corretoras de visão, aparelho auxiliar de audição, de prótese física ou as adaptações do veículo impostas por ocasião da concessão ou renovação da licença para conduzir                                                                                                                                                                                                      ";"Dirigir o veículo sem usar lentes corretoras de visão, aparelho auxiliar de audi";"162 VI";191.54;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50531";"Dirigir veículo sem usar lentes corretoras de visão                                                                                                                                                                                                                                                                                                                                                             ";"Dirigir veículo sem usar lentes corretoras de visão";"162 VI";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"50532";"Dirigir veículo sem usar aparelho auxiliar de audição                                                                                                                                                                                                                                                                                                                                                           ";"Dirigir veículo sem usar aparelho auxiliar de audição";"162 VI";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"50533";"Dirigir veículo sem usar prótese física                                                                                                                                                                                                                                                                                                                                                                         ";"Dirigir veículo sem usar prótese física";"162 VI";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"50534";"Dirigir veículo sem usar sem usar as adaptações do veículo impostas por ocasião da concessão                                                                                                                                                                                                                                                                                                                    ";"Dirigir veículo sem usar sem usar as adaptações do veículo impostas por ocasião ";"162 VI";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"50535";"Dirigir veículo sem a renovação da licença para conduzir                                                                                                                                                                                                                                                                                                                                                        ";"Dirigir veículo sem a renovação da licença para conduzir";"162 VI";191.54;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"50611";"Entregar a direção do veículo a pessoa que não possua CNH                                                                                                                                                                                                                                                                                                                                                       ";"Entregar a direção do veículo a pessoa que não possua CNH";"163";574.62;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"50612";"Entregar a direção do veículo a pessoa que não possua Permissão para dirigir                                                                                                                                                                                                                                                                                                                                    ";"Entregar a direção do veículo a pessoa que não possua Permis";"163";574.62;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"50610";"Entregar a direção do veículo a pessoa que não possua CNH ou permissão para dirigir                                                                                                                                                                                                                                                                                                                             ";"Entregar a direção do veículo a pessoa que não possua CNH ou permissão para diri";"163";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"50700";"Entregar a direção do veículo a pessoa com CNH ou Permissão para Dirigir cassada ou com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                         ";"Entregar a direção do veículo a pessoa com CNH ou Permissão para Dirigir cassada";"163";957.70;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"50701";"Entregar a direção do veículo a pessoa com CNH cassada                                                                                                                                                                                                                                                                                                                                                          ";"Entregar a direção do veículo a pessoa com CNH cassada";"163";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"50704";"Entregar a direção do veículo a pessoa com Permissão para dirigir com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                           ";"Entregar a direção do veículo a pessoa com Permissão para di";"163";957.70;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"50702";"Entregar a direção do veículo a pessoa com Permissão para dirigir cassada                                                                                                                                                                                                                                                                                                                                       ";"Entregar a direção do veículo a pessoa com Permissão para dirigir cassada";"163";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"50703";"Entregar a direção do veículo a pessoa com CNH com suspensão do direito de dirigir                                                                                                                                                                                                                                                                                                                              ";"Entregar a direção do veículo a pessoa com CNH com suspensão do direito de dirig";"163";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"50880";"Entregar a direção do veículo a pessoa com CNH ou Permissão para Dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                             ";"Entregar a direção do veículo a pessoa com CNH ou Permissão para Dirigir de cate";"163";574.62;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"50881";"Entregar veículo a pessoa com CNH de categoria diferente da do veículo                                                                                                                                                                                                                                                                                                                                          ";"Entregar veículo a pessoa com CNH de categoria diferente da do veículo";"163 c/c 162 III	";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"50882";"Entregar a direção do veículo a pessoa com Permissão para Dirigir, de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                                   ";"Entregar a direção do veículo a pessoa com Permissão para Dirigir, de categoria ";"163";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"50960";"Entregar a direção do veículo a pessoa com validade da CNH, vencida a mais de trinta dias                                                                                                                                                                                                                                                                                                                       ";"Entregar a direção do veículo a pessoa com validade da CNH, vencida a mais de tr";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51000";"Entregar a direção do veículo a pessoa sem usar lentes corretoras de visão, aparelho auxiliar de audição, de prótese física ou as adaptações do veículo impostas por ocasião da concessão ou renovação da licença para conduzir                                                                                                                                                                                 ";"Entregar a direção do veículo a pessoa sem usar lentes corretoras de visão, apar";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51001";"Entregar a direção do veículo a pessoa sem usar lentes corretoras de visão                                                                                                                                                                                                                                                                                                                                      ";"Entregar a direção do veículo a pessoa sem usar lentes corretoras de visão";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51002";"Entregar a direção do veículo a pessoa sem usar aparelho auxiliar de audição                                                                                                                                                                                                                                                                                                                                    ";"Entregar a direção do veículo a pessoa sem usar aparelho auxiliar de audição";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51003";"Entregar a direção do veículo a pessoa sem usar prótese física                                                                                                                                                                                                                                                                                                                                                  ";"Entregar a direção do veículo a pessoa sem usar prótese física";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51181";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, a pessoa que não possua CNH                                                                                                                                                                                                                                                                                                           ";"Permitir que tome posse do veículo automotor e passe a condu";"164";574.62;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"51182";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, a pessoa que não possua Permissão para Dirigir                                                                                                                                                                                                                                                                                        ";"Permitir que tome posse do veículo automotor e passe a condu";"164";574.62;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"51004";"Entregar a direção do veículo a pessoa sem usar as adaptações do veículo, impostas por ocasião da concessão                                                                                                                                                                                                                                                                                                     ";"Entregar a direção do veículo a pessoa sem usar as adaptações do veículo, impost";"163";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51005";"Entregar a direção do veículo a pessoa sem a licença para conduzir                                                                                                                                                                                                                                                                                                                                              ";"Entregar a direção do veículo a pessoa sem a licença para conduzir";"163";191.54;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51180";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via a pessoa que não possua CNH ou Permissão para Dirigir                                                                                                                                                                                                                                                                                  ";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via a pesso";"164";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"51260";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, pessoa com CNH ou Permissão para Dirigir cassada ou com suspensão do direito de dirigir                                                                                                                                                                                                                                               ";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, pessoa";"164";957.70;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51264";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com Permissão para Dirigir suspensa                                                                                                                                                                                                                                                                                                     ";"Permitir que tome posse do veículo e passe a conduzi-lo na v";"164";957.70;7;"";"P";(null);(null);"2008-01-22";(null);(null)
"51261";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com CNH cassada                                                                                                                                                                                                                                                                                                                         ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com CNH ";"164";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"51262";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com Permissão para Dirigir cassada                                                                                                                                                                                                                                                                                                      ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com Perm";"164";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"51263";"Permitir posse/condução veíc pessoa com CNH/PPD c/ suspensão direito de dirigir                                                                                                                                                                                                                                                                                                                                 ";"Permitir posse/condução veíc pessoa com CNH/PPD c/ suspensão direito de dirigir ";"163 c/c 162 II";957.70;7;(null);"P";(null);(null);(null);(null);(null)
"51340";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, a pessoa com CNH ou Permissão para Dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                 ";"Permitir que tome posse do veículo automotor e passe a conduzi-lo na via, a pess";"164";574.62;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51341";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com CNH de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                                      ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com CNH ";"164";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"51342";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com Permissão para Dirigir de categoria diferente da do veículo que esteja conduzindo                                                                                                                                                                                                                                                   ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa com Perm";"164";574.62;7;(null);"P";(null);(null);(null);(null);(null)
"51420";"Permitir que tome posse do veículo e  passe a conduzi-lo na via a pessoa com validade da CNH vencida a mais de trinta dias                                                                                                                                                                                                                                                                                      ";"Permitir que tome posse do veículo e  passe a conduzi-lo na via a pessoa com val";"164";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51500";"Permitir que tome posse do veículo e  passe a conduzi-lo na via a pessoa  sem usar lentes corretoras de visão , aparelho auxiliar de audição, de prótese física ou as adaptações do veículo impostas por ocasião da concessão ou renovação da licença para conduzir                                                                                                                                             ";"Permitir que tome posse do veículo e  passe a conduzi-lo na via a pessoa  sem us";"164";191.54;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51501";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar lentes corretoras de visão                                                                                                                                                                                                                                                                                                     ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar";"164";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51502";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar aparelho auxiliar de audição                                                                                                                                                                                                                                                                                                   ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar";"164";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51503";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar  prótese física                                                                                                                                                                                                                                                                                                                ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem usar";"164";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51504";"Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond                                                                                                                                                                                                                                                                                                                                ";"Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond";"163 c/c 162 VI";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51505";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem a renovação de licença para conduzir                                                                                                                                                                                                                                                                                                ";"Permitir que tome posse do veículo e passe a conduzi-lo na via a pessoa sem a re";"164";191.54;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51690";"Dirigir sob influência de álcool, em nível superior a seis decigramas por litro de sangue ou de qualquer substância entorpecente ou que determine dependência física ou psíquica                                                                                                                                                                                                                                ";"Dirigir sob influência de álcool, em nível superior a seis decigramas por litro ";"165";957.70;7;"A";"C";(null);(null);"2008-01-22";(null);(null)
"51691";"Dirigir sob a influência de álcool                                                                                                                                                                                                                                                                                                                                                                              ";"Dirigir sob a influência de álcool";"165";957.70;7;"A";"C";(null);(null);(null);(null);(null)
"51692";"Dirigir sob influência subst entorpecente ou q determine depend física/psíquica                                                                                                                                                                                                                                                                                                                                 ";"Dirigir sob influência subst entorpecente ou q determine depend física/psíquica ";"165";957.70;7;"A";"C";(null);(null);(null);(null);(null)
"51693";"Dirigir sob influência de substância que determine dependência física ou psíquica                                                                                                                                                                                                                                                                                                                               ";"Dirigir sob influência de substância que determine dependência física ou psíquic";"165";957.70;7;"A";"C";(null);(null);"2008-01-11";(null);(null)
"51770";"Confiar ou entregar a direção do veículo a pessoa que, mesmo habilitada, por seu estado físico ou psíquico, não estiver em condições de dirigi-lo com segurança                                                                                                                                                                                                                                                 ";"Confiar ou entregar a direção do veículo a pessoa que, mesmo habilitada, por seu";"166";191.54;7;(null);"P";(null);(null);(null);(null);(null)
"51771";"Confiar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou psíquico, não estiver em condições de dirigi-lo com segurança                                                                                                                                                                                                                                                             ";"Confiar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físi";"166";191.54;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51772";"Entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou psíquico, não estiver em condições de dirigi-lo com segurança                                                                                                                                                                                                                                                            ";"Entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado fís";"166";191.54;7;(null);"P";(null);(null);"2008-01-22";(null);(null)
"51850";"Deixar o condutor ou passageiro de usar o cinto de segurança                                                                                                                                                                                                                                                                                                                                                    ";"Deixar o condutor ou passageiro de usar o cinto de segurança";"167";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"51851";"Deixar o condutor de usar o cinto de segurança                                                                                                                                                                                                                                                                                                                                                                  ";"Deixar o condutor de usar o cinto de segurança";"167";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"51852";"Deixar o passageiro de usar o cinto de segurança                                                                                                                                                                                                                                                                                                                                                                ";"Deixar o passageiro de usar o cinto de segurança";"167";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"51930";"Transportar criança sem observância das normas de segurança estabelecidas p/ CTB                                                                                                                                                                                                                                                                                                                                ";"Transportar criança sem observância das normas de segurança estabelecidas p/ CTB";"168";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"52070";"Dirigir sem atenção ou sem os cuidados indispensáveis a segurança                                                                                                                                                                                                                                                                                                                                               ";"Dirigir sem atenção ou sem os cuidados indispensáveis a segurança";"169";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"52233";"Usar o veículo para arremessar detritos sobre os pedestres                                                                                                                                                                                                                                                                                                                                                      ";"Usar o veículo para arremessar detritos sobre os pedestres";"171";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"52234";"Usar o veículo para arremessar detritos sobre os veículos                                                                                                                                                                                                                                                                                                                                                       ";"Usar o veículo para arremessar detritos sobre os veículos";"171";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"52150";"Dirigir ameaçando os pedestres que estejam atravessando a via pública ou os demais veículos                                                                                                                                                                                                                                                                                                                     ";"Dirigir ameaçando os pedestres que estejam atravessando a via pública ou os dema";"170";191.54;7;(null);"C";(null);(null);"2008-01-22";(null);(null)
"52151";"Dirigir ameaçando os pedestres que estejam atravessando a via pública                                                                                                                                                                                                                                                                                                                                           ";"Dirigir ameaçando os pedestres que estejam atravessando a via pública";"170";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"52152";"Dirigir ameaçando os demais veículos                                                                                                                                                                                                                                                                                                                                                                            ";"Dirigir ameaçando os demais veículos";"170";191.54;7;(null);"C";(null);(null);(null);(null);(null)
"52230";"Usar o veículo para arremessar água ou detritos sobre os pedestres ou veículos                                                                                                                                                                                                                                                                                                                                  ";"Usar o veículo para arremessar água ou detritos sobre os pedestres ou veículos";"171";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"52231";"Usar o veículo para arremessar água  ou detritos sobre os pedestres                                                                                                                                                                                                                                                                                                                                             ";"Usar o veículo para arremessar água  ou detritos sobre os pedestres";"171";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"52232";"Usar o veículo para arremessar água ou detritos sobre os veículos                                                                                                                                                                                                                                                                                                                                               ";"Usar o veículo para arremessar água ou detritos sobre os veículos";"171";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"52310";"Atirar do veículo ou abandonar na via pública objetos ou substâncias                                                                                                                                                                                                                                                                                                                                            ";"Atirar do veículo ou abandonar na via pública objetos ou substâncias";"172";85.13;4;(null);"C";(null);(null);"2008-01-22";(null);(null)
"52311";"Atirar do veículo na via pública objetos ou substâncias                                                                                                                                                                                                                                                                                                                                                         ";"Atirar do veículo na via pública objetos ou substâncias";"172";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"52312";"Abandonar na via pública objetos ou substâncias                                                                                                                                                                                                                                                                                                                                                                 ";"Abandonar na via pública objetos ou substâncias";"172";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"52400";"Disputar corrida por espírito de emulação                                                                                                                                                                                                                                                                                                                                                                       ";"Disputar corrida por espírito de emulação";"173";574.62;7;(null);"C";(null);(null);(null);(null);(null)
"52580";"Promover na via, competição esportiva, eventos organizados, exibição e demonstração de perícia em manobras de veículos, sem permissão da Autoridade de Trânsito com circunscrição sob a via                                                                                                                                                                                                                     ";"Promover na via, competição esportiva, eventos organizados, exibição e demonstra";"174";957.70;7;(null);"I";(null);(null);"2008-01-22";(null);(null)
"52581";"Promover na via competição esportiva sem permissão                                                                                                                                                                                                                                                                                                                                                              ";"Promover na via competição esportiva sem permissão ";"174";957.70;7;(null);"I";(null);(null);"1905-06-23";(null);(null)
"52582";"Promover na via eventos organizados sem permissão                                                                                                                                                                                                                                                                                                                                                               ";"Promover na via eventos organizados sem permissão ";"174";957.70;7;(null);"I";(null);(null);"2008-06-13";(null);(null)
"52583";"Promover na via exibição e demonstração de perícia em manobra de veículo                                                                                                                                                                                                                                                                                                                                        ";"Promover na via exibição e demonstração de perícia em manobra de veículo";"174";957.70;7;(null);"I";(null);(null);"2008-06-25";(null);(null)
